Total Time,Rating,Votes,Notes,Date Published,Steps,Ingredients,Serving Size
About 30 minutes,5,571,37,,4,8,4 servings
25 minutes,4,"2,318",200,,5,11,4 to 6 servings
15 minutes,4,"15,903",954,"March 13, 2024",4,8,4 servings
20 minutes,4,392,36,,4,7,4 servings
20 minutes,5,"4,119",404,,3,9,4 servings
45 minutes,4,"1,474",153,,5,11,4 servings
1 hour,5,6,1,"April 23, 2024",5,10,4 to 6 servings
20 minutes,4,"1,512",174,,4,12,4 servings
25 minutes,4,"2,432",252,,5,7,4 servings
30 minutes,5,"4,927",289,,3,15,4 to 6 servings
"2 hours 30 minutes, plus cooling time",5,"3,690",424,,6,14,8 servings
20 minutes,4,"1,238",115,,5,16,4 servings
30 minutes,5,"11,468",1165,,5,13,4 to 6 servings
40 minutes,4,"6,708",487,,4,15,4 servings
15 minutes,4,692,96,"March 28, 2024",3,8,4 servings
30 minutes,5,"1,046",85,"Jan. 22, 2024",5,13,4 to 6 servings
45 minutes,4,33,5,"April 24, 2024",4,11,4 servings
45 minutes,4,513,68,"March 12, 2024",5,7,4 to 6 servings
30 minutes,4,285,28,,2,12,Serves 6
20 minutes,4,485,64,,4,11,4 servings
35 minutes,4,976,101,"Nov. 3, 2023",4,6,2 to 4 servings
20 minutes,4,"2,061",192,,3,10,4 to 6 servings
20 minutes,5,"5,340",354,,3,7,2 or 3 servings
25 minutes,4,"2,516",227,,5,10,4 to 6 servings
15 to 20 minutes,5,"4,880",446,,3,9,2 servings.
35 minutes,4,"1,123",144,,3,11,4 servings
30 minutes,5,"12,208",974,"Nov. 8, 2023",5,8,4 servings
20 minutes,4,69,10,"April 2, 2024",5,7,4 servings
40 to 45 minutes,3,11,1,"April 19, 2024",4,16,6 to 8 servings
30 minutes,4,382,56,"Oct. 17, 2023",3,7,4 servings
35 minutes,4,374,72,"Nov. 2, 2023",5,15,2 to 4 servings
40 minutes,4,311,56,"March 5, 2024",5,6,4 servings
About 1½ hours,4,383,54,"Feb. 6, 2024",4,8,4 servings (about 2 cups sauce)
45 minutes,4,262,26,,6,11,4 servings
30 minutes,5,156,20,"March 28, 2024",4,11,4 servings
45 minutes,4,"1,030",122,,4,8,16 cookies
1½ hours,4,164,13,,6,12,4 servings
35 minutes,5,408,53,"Jan. 10, 2024",5,20,4 servings
3 hours,4,488,68,,7,13,4 servings
1 hour,4,491,67,,5,14,4 servings
1 hour,4,244,47,"Oct. 11, 2023",6,11,9 brownies
20 minutes,4,"1,696",166,,3,10,4 servings
40 minutes,4,354,26,,5,31,6 servings
1 hour 35 minutes,4,255,39,,4,17,6 servings
45 minutes,4,291,42,"Oct. 11, 2023",4,10,4 servings
90 minutes,4,306,26,,5,13,6 servings
1 hour 15 minutes,4,246,30,,5,6,9 msemen
30 minutes,4,856,89,,5,10,about 2 dozen cookies
30 minutes,4,338,27,,5,18,4 servings
25 minutes,4,"1,336",143,,5,14,4 servings
15 minutes,4,602,41,,4,10,4 servings
50 minutes,5,650,74,,2,11,Serves four to six
"About 2 hours 30 minutes, plus 6 hours' soaking",4,120,11,,4,9,Serves four
30 minutes,5,"2,835",182,,5,13,3 to 4 servings
20 minutes,4,"1,096",126,,10,6,4 servings
1 to 1¼ hours,5,187,30,,4,19,4 servings
1 hour 10 minutes,4,"2,939",298,,4,13,6 servings
30 minutes,4,843,104,,4,11,4 servings
30 minutes,4,594,80,"March 1, 2024",3,8,4 servings
40 minutes,4,267,7,,5,8,2 to 4 servings
1 hour 30 minutes,4,44,4,,3,11,Serves four
1 hour,4,46,8,,4,8,Serves 6 to 8
2½ hours,5,"5,286",715,,3,15,6 to 8 servings
About 3 hours,4,200,21,,3,15,Serves six to eight
2 hours 30 minutes,4,"1,006",80,,7,21,4 to 6 servings
2 hours,4,75,9,,2,11,4 to 6 servings.
40 minutes,4,"1,154",112,,4,10,4 servings
"1 hour 15 minutes, plus marinating time",4,119,22,,5,12,6 servings
25 minutes,4,133,23,"Oct. 10, 2023",4,7,4 servings
25 minutes,4,13,0,"April 24, 2024",7,9,4 servings
5 minutes,4,"6,926",957,,3,4,2 servings
15 minutes,5,"1,876",172,,4,10,4 servings
25 minutes,4,"4,713",483,,4,7,6 servings
1 hour,4,"1,385",148,,5,27,4 to 6 servings
50 minutes,4,700,61,,3,9,3 to 4 servings
45 minutes,4,173,16,"Oct. 11, 2023",7,11,4 servings
30 minutes,5,"4,793",430,,4,12,4 servings
30 minutes,4,664,77,,5,9,4 side servings
About 1 hour,5,949,104,,4,14,Serves 4 to 6
About 50 minutes,5,"5,263",298,"Jan. 23, 2024",6,12,6 servings
1 hour,4,"1,614",272,,5,12,6 to 8 servings
30 minutes,5,"4,357",487,,5,13,4 to 6 servings
40 minutes,4,209,21,,5,9,2 servings
45 minutes,4,470,34,,3,10,Serves 4 to 6
45 minutes,5,878,64,,5,12,4 servings
1½ hours,4,349,36,"April 3, 2024",7,18,4 to 6 servings
30 minutes,4,362,96,"March 27, 2024",5,11,6 servings
About 30 minutes,5,289,35,,4,13,4 to 6 servings
"1 hour, plus marinating",5,"12,527",1185,,5,14,4 servings
30 minutes,5,574,40,,4,10,Serves 4 to 6
40 minutes,4,"1,365",99,"Oct. 12, 2023",2,10,4 to 6 servings
1½ hours,4,"1,417",158,"March 28, 2024",5,13,6 to 8 servings
20 minutes,4,"3,341",352,,5,7,4 servings
25 minutes,4,"2,837",273,,2,7,4 servings
30 minutes,4,"8,265",770,,4,11,4 servings
45 minutes,,0,0,"April 23, 2024",8,8,4 servings
50 minutes,5,"5,385",400,"Oct. 12, 2023",4,17,4 to 6 servings
1 hour,4,"6,720",476,"Jan. 30, 2024",5,15,4 servings
45 minutes,4,"4,017",592,,3,12,6 servings
45 minutes,5,"1,211",112,,5,8,4 servings
20 minutes,4,685,69,,4,7,4 servings
35 minutes,5,"2,978",248,,3,15,4 to 5 servings
1 hour,5,"4,261",428,"Oct. 12, 2023",3,13,4 servings
About 1 hour,4,"1,028",51,,2,11,4 to 6 servings
About 1 hour,4,704,43,,4,13,6 to 8 servings
"10 minutes, plus freezing",5,263,18,,2,4,4 to 6 servings
20 minutes,5,222,7,,2,3,4 servings
About an hour,4,92,7,,3,14,4 to 8 servings
40 minutes,4,442,41,,4,8,4 servings
"30 minutes, plus at least one hour’s chilling",5,704,43,,3,3,"About 1½ cups ganache, or 24 truffles"
"1 hour, plus rising",4,156,30,,11,11,1 pizza
40 minutes,5,"3,838",257,"Oct. 16, 2023",3,7,About 1 dozen brownies
"1 hour, plus rising",4,97,21,,12,10,1 pizza
20 minutes,4,254,15,,3,5,2 to 4 servings
About 3 hours,4,251,17,,4,10,8 or more servings
30 minutes,4,89,3,,4,17,4 to 8 servings
1 hour,4,179,14,,3,13,6 to 8 servings
"1 hour, largely unattended",4,255,20,,3,8,4 crab cakes
30 minutes,4,48,6,,4,9,4 servings
10 minutes,4,83,9,,1,7,14 tablespoons
10 minutes,5,"1,629",161,,4,8,2 to 4 servings
30 minutes,4,"2,196",201,,4,11,4 servings
"20 minutes, plus marinating",5,"4,612",356,,6,13,4 servings
5 minutes,5,"1,308",112,,1,8,About 1¼ cups
"9 to 16 hours, plus overnight resting",4,118,8,,3,2,16 servings
30 minutes,4,410,37,,4,11,4 to 6 servings
15 minutes,4,103,8,,2,9,4 servings.
30 minutes,4,73,12,,3,9,4 servings
30 minutes,4,275,16,,2,5,4 servings.
